Review,Mhs0,Mhs0,Ahli
"Kebun binatang legendaris Surabaya ini nyaris tidak ada perubahan berarti sejak dulu. Kondisi kandang hewan perlu perbaikan, termasuk perawatan hewannya. Kebersihan masih belum terjaga, banyak coretan grafiti di mana mana.",1,1,
Bagus pemandangannya. Bimatang yang sangat beragam membuat wisatawan menjadi senang disana juga di sediakan kantin dan toilet yang bersih dan area parkir yang luas,0,0,
"Kebun binatang surabaya merupakan tempat favorit saya semasa kecil, namun keadaannya saat ini sungguh memprihatinkan, lingkungannya kotor, bnyak sampah, kandang hewannya kotor sekali, tempat minum, dll semua kotor, air di kolam0 sekitar hewan juga kotor, penempatan hewan juga kurang di perhatikan. Bau kotoran di kandang serta bau dari binatang itu sendiri juga gak kalah menyengat. Sebagai penyayang binatang saya sedih sekali melihat kondisi hewan disini, bayak hewan seperti komodo, dan bangau mengalami kelebihan populasi, karena kandangnya penuh sesak isinya, ada menara pandang namun baunya pesing, secara keseluruhan tempat ini buruk, bagunannya juga terkesan kumuh dan tidak cocok untuk foto0",0,1,
"Di KBS banyak kandang yang kosong, entah penghuninya sudah mati atau bagaimana. Gersang dan panas, tak berperikehewanan. Kasihan sekali melihat koleksi hewan hewan dsini seperrti hidup segan mati tak mau. Semoga pemerintah Surabaya segera melek dan berubah kalau mau kebun Binatang ini tetap hidup.",1,1,
"Salah satu objek wisata yang harus dikunjungi jika berada di Surabaya. Hanya dengan tiket Rp. 05.111,- kita sudah bisa menikmati pemandangan dan melihat hewan hewan yang mungkin hanya bisa kita temui di alam liar. Namun, tempat ini tidak terlalu nyaman karena beberapa fasilitas rusak, kondisi hewan memprihatinkan, kotor dan beraroma kurang sedap, tapi overall tetap nyaman-lah untuk dinikmati. Salam traveller",0,0,
"KBS koleksi hewannya lumayan lengkap, mulai dr harimau hingga kuda nil. Sangat ramai terutama akhir pekan. Liburan ke kbs merupakan liburan yg murah meriah dan dapat memperkenalkan anak0 akan macam dan jenis hewan yg ada. Namun wc nya jorok smoga kedepan bisa lbh bersih dan asri.",0,0,
"binatangnya banyak, tempat ini juga merupakan salah satu tempat bersejarah dan tempat yang menjadi ikon penting surabaya. di depan bisa foto dengan patung sura dan baya besar. sayangnya tempat ini kurang dirawat, tamannya agak gersang. semoga bisa ditata ulang dan lebih dirawat",0,0,
"hewan di KBS kurang terjaga kesehatan dan kondisinya, hewan banyak yang kurus0 dan kurang terawat padahal tiket masuknya sudah lumayan mahal, mohon untuk lebih diperhatikan kasihan hewan - hewannya, mereka sama kaya kita",1,1,
"tempatnya sih luas banget, tiket masuknya terbilang mahal 05.111 (kalo dibandingin ragunan) haha trus binatangnya juga sedikit. kalo burung sih banyak, tapi ikan-ikannya juga sepi akuariumnya banyak yg rusak, kotor dan gada isinya",1,1,
"Berlokasi ditengah kota, mudah diakses dengan berbagai moda transportasi, koleksi binatang yang lengkap namun kurang perawatan, tempat yang pas untuk pengenalan satwa",0,0,
"Bulan lalu, saya mengunjungi temat ini bersama keluarga karena sudah janji pada si kecil untuk mengajaknya. Lokasinya lumayan jauh dari Kepanjen, kami naik KA turun di Stasiun Wonokromo. Naik becak 05.111 ke KBS. Tiket masuk KBS 05 ribu/orang. Sayangnya 0x ke sana, aquarium selalu tutup. Tapi kandang burung dan monyet mengobati rasa kecewa. Saya pun mengenalkan banyak binatang secara real kepada si kecil. Dia suka. :) Karena saat itu bukan weekend, tidak terlalu banyak orang, wahana bermain pun sepi dan tidak terawat. Walaupun memang yang sekarang tidak lebih bagus dari awal mula saya ke sini 5 tahun lalu.",1,1,
"ini adalah tempat wisata yang sangat terkenal di surabaya. siapa yang tidak pernah tahu kebun binatang surabaya? saya yakin semua warga kota surabaya pasti tahu tempat ini. lokasinya di persimpangan antara jalan diponegoro dan jalan raya darmo. jika anda dari jalan a.yani maka kebun binatang ini akan ada di sisi kiri anda. banyak sekali jenis hewan yang ada di kebun binatang ini,baik dari dalam negeri maupun luar negeri,seperti unta,singa,jerapah,merak,harimau, kuda nil dan lain lain. bahkan ada beberapa jenis hewan yang memang dibiarkan bebas berkeliaran tanpa dikurung. tentu saja,ini adalah jenis-jenis hewan yang relatif tidak berbahaya.kebun binatang ini dibuka dari jam 8 pagi hingga jam 5 sore. tarif masuknya pun sangat murah yaitu 05ribu saja per orang. jika sedang musim liburan atau hari besar, kebun binatang ini sangat ramai pengunjung.namun akhir-akhir ini saya cukup sedih mendengar berita bahwa beberapa jenis hewan banyak yang mati. ini sangat disayangkan.padahal sejak saya kecil saya sangat suka pergi ke kebun binatang ini. semoga ke depannya pengelolaan kebun binatang ini bisa lebih baik",0,0,
"Sungguh prihatin melihat kondisi hewan di kebun binatang ini, terlihat kurus dan tidak bahagia dibandingkan dengan kebun binatang di kota apel perbedaannya sangat jauh, namun dihari libur panjang pengunjung sangat banyak dan sangat antusias. Teman teman juga bisa berfoto dengan patung khas suro baya yang sangat popular yang letaknya di depan KBS",1,1,
Kebun binatang ini dulunya tidak terawat dan banyak binatang yang meninggal tetapj sekarang di ambil alih oleh pemerintah sudah bagus,1,0,
"Ntah apa yang menyebabkan kondisi kebun binatang surabya ini semakin buruk, pemeliharaannyakah, binatangnya yang semakin berkurang atau ntah apa, karena yang saya lihat, sangatlah kotor dan bau kotoran binatang sangat menyengat",1,1,
"Jaman dulu sangat di akui KBS tempat tujuan wisata khususnya murid TK & SD. Tapi seiring kemajuan jaman, KBS msh saja blm berubah. Coba tengok Maharani Zoo & Cave Dan Batu Screet Zoo. Sangat modern dari segi tempat & Koleksi satwa. Tapi cukup puas lah jalan0 disini. Apalagi pohon0 besarnya sangat rimbun cocok untuk berteduh dari panasnya suhu kota Surabaya.",1,1,
"Tempat yang masih disukai wisatawan... Tempatnya luas, banyak jual makanan dan beragam macan hewan. Hewan yang paling saya suka puma hitam...",0,0,
"tempat yang sangat luas, cocok untuk keluarga dan anak. kondisi binatang tidak selengkap dulu kala..",0,0,
Waktu main ke kebun binatang surabaya kok kayaknya binatangnya memprihatinkan. Di beberapa sudut juga agak bau.,1,1,
"Pertama kunjungi KBS dgn harapan banyak yg bisa dipelajari dan dinikmati anak sy, tp melihat kondisi fasilitas dan satwa0 yg kurang terawat rasanya gak tega. Badan kurus dan kurang gerak, kandang tdk terawat, lebih bagus di alam aslinya. Saran saya... kembalikan satwa tersebut ke alamnya bila tidak dirawat dgn baik.",1,1,
"kebun binatang sekarang kurang menarik perhatian , pada saat saya kesana untuk tempatnya tidak terawat , kurang bersih , kasian hewn-hewan yang tinggal disana merasa tidak nyaman , mungkin lebih diperhatikan lagi",1,1,
"Saya pernah beberapa kali mampir ke KBS, Sekarang kurang bagus, masih perlu lebih dikembangkan. Koleksi satwanya sedikit, tidak seperti dulu, tempat perlu banyak perbaikan...",1,1,
"kebun binatang surabaya yg sekarang tak seperti dulu. kurang terawat,kurang bersih,dan banyak hewan hewan yg mati karena kurang terawat.",1,1,
